Username,Login_Hour,Day_Of_Week,Login_Status,Failed_Attempts,Login_Frequency,IP_Address,Device_Type,Browser,Label,Month,Day,Is_Weekend,Time_Period,High_Failed_Attempts
23,0,3,1,10,13,161.130.48.96,1,1,1,11,9,1,3,1
16,13,6,1,0,5,61.212.89.164,0,1,0,8,20,0,0,0
44,17,6,1,2,2,43.244.18.111,1,1,0,12,31,0,1,0
66,17,4,1,2,2,66.99.105.183,1,2,0,1,29,0,1,0
22,8,0,1,1,2,145.108.155.135,2,2,0,9,26,0,2,0
43,16,3,1,1,4,159.128.4.145,2,2,0,5,3,1,0,0
28,19,1,1,2,5,182.69.61.73,2,2,0,6,29,0,1,0
82,2,4,0,5,17,218.164.73.43,1,0,1,12,4,0,3,1
27,12,6,0,2,4,113.102.42.76,2,2,0,2,18,0,0,0
68,14,2,1,2,2,208.224.216.145,2,1,0,3,21,1,0,0
42,16,3,1,1,3,95.135.240.4,1,0,0,3,15,1,0,0
85,20,2,1,0,2,188.31.155.56,1,2,0,11,1,1,1,0
51,12,0,1,0,4,30.189.197.171,2,1,0,5,15,0,0,0
56,16,3,1,0,2,111.46.235.183,1,2,0,7,19,1,0,0
19,14,0,1,2,3,206.29.143.214,1,2,0,7,10,0,0,0
68,14,1,1,0,4,75.217.97.97,1,0,0,11,10,0,0,0
25,10,2,1,1,5,204.38.70.229,1,0,0,9,20,1,2,0
50,20,6,1,0,4,155.108.126.180,0,1,0,6,3,0,1,0
43,18,2,1,0,3,77.252.224.90,2,0,0,9,6,1,1,0
66,3,1,0,6,7,112.108.191.217,0,0,1,5,4,0,3,1
82,8,0,1,1,2,132.141.110.142,2,2,0,11,7,0,2,0
31,17,2,1,1,4,147.193.126.69,1,1,0,11,8,1,1,0
49,0,4,1,4,15,213.36.190.176,0,1,1,1,1,0,3,1
99,15,1,1,2,1,130.7.83.3,2,0,0,1,19,0,0,0
23,0,3,1,5,19,130.54.104.246,0,0,1,1,4,1,3,1
13,19,5,0,1,3,164.2.88.178,0,1,0,11,25,0,1,0
84,13,2,1,2,5,82.51.221.250,2,2,0,3,21,1,0,0
11,15,1,1,0,3,54.92.41.235,1,2,0,8,4,0,0,0
36,12,4,1,0,3,51.177.78.246,0,2,0,10,2,0,0,0
56,20,2,1,1,3,136.119.120.199,0,1,0,10,18,1,1,0
3,17,2,1,1,1,118.82.42.96,1,2,0,1,31,1,1,0
71,8,0,1,2,4,87.135.100.107,2,2,0,1,16,0,2,0
27,8,2,1,2,1,213.28.8.122,0,2,0,1,10,1,2,0
49,19,5,0,1,2,190.13.223.163,1,2,0,1,6,0,1,0
47,11,0,1,2,3,225.50.164.113,0,0,0,6,12,0,2,0
94,13,2,1,0,1,75.82.85.97,0,1,0,11,29,1,0,0
68,12,4,1,0,1,124.174.148.104,2,1,0,2,12,0,0,0
63,14,3,1,1,2,13.190.218.30,0,0,0,8,24,1,0,0
93,20,1,1,0,1,216.161.160.238,1,2,0,4,20,0,1,0
1,18,2,1,0,5,62.70.80.15,0,1,0,1,3,1,1,0
73,18,5,1,0,3,247.252.130.21,1,2,0,2,24,0,1,0
10,2,4,1,4,8,210.71.211.15,1,0,1,5,14,0,3,1
65,16,5,1,2,4,145.203.108.247,0,1,0,10,7,0,0,0
33,11,0,1,0,4,146.23.175.218,2,1,0,10,17,0,2,0
28,19,5,1,1,5,45.174.91.166,2,2,0,8,12,0,1,0
12,9,5,1,0,1,243.209.44.107,1,1,0,9,16,0,2,0
15,14,0,1,1,3,71.199.65.209,2,1,0,5,22,0,0,0
52,11,3,1,2,1,151.195.66.99,2,1,0,5,31,1,2,0
12,19,2,1,0,1,66.117.146.150,0,2,0,8,9,1,1,0
50,14,1,1,0,5,31.109.106.185,1,2,0,10,13,0,0,0
56,10,0,1,0,4,100.2.61.138,1,2,0,5,15,0,2,0
12,12,6,1,2,4,210.33.247.150,2,0,0,12,17,0,0,0
33,8,0,1,2,5,147.80.188.17,2,2,0,1,9,0,2,0
29,9,1,1,2,5,207.169.31.196,1,1,0,12,1,0,2,0
83,16,1,1,0,2,38.148.63.244,0,2,0,12,29,0,0,0
65,0,2,1,3,18,210.41.101.143,2,0,1,5,30,1,3,1
93,14,2,1,0,2,13.121.143.162,2,0,0,5,30,1,0,0
80,15,1,1,2,3,15.119.97.245,0,1,0,12,22,0,0,0
91,8,1,1,1,5,220.143.179.158,0,1,0,9,1,0,2,0
34,13,2,1,0,4,106.25.44.207,1,1,0,10,25,1,0,0
30,11,2,0,2,3,75.198.119.178,0,0,0,5,2,1,2,0
88,9,5,1,2,1,142.80.190.171,0,2,0,3,10,0,2,0
93,13,4,1,1,2,247.147.246.203,0,2,0,4,30,0,0,0
29,8,0,1,1,4,82.180.23.16,1,1,0,1,16,0,2,0
45,4,5,1,7,16,59.131.115.53,2,2,1,5,5,0,3,1
4,22,5,0,8,16,160.139.31.180,0,1,1,1,20,0,3,1
43,13,0,1,2,4,92.176.251.195,1,0,0,8,22,0,0,0
78,10,3,1,2,4,186.150.127.173,0,2,0,8,31,1,2,0
78,20,0,1,0,4,6.29.4.42,1,1,0,8,15,0,1,0
19,16,4,1,2,4,60.247.215.49,0,0,0,10,16,0,0,0
36,13,3,1,0,5,83.239.44.48,0,2,0,2,22,1,0,0
41,17,5,1,1,2,204.228.18.79,2,2,0,2,10,0,1,0
88,18,4,1,0,3,8.87.198.169,0,0,0,10,16,0,1,0
41,17,4,1,0,3,207.122.23.186,2,2,0,7,16,0,1,0
68,15,2,1,0,3,111.37.147.241,2,0,0,10,11,1,0,0
64,11,3,1,2,1,26.117.14.124,0,1,0,4,26,1,2,0
10,15,6,1,2,5,34.66.119.233,1,0,0,9,17,0,0,0
52,9,3,1,0,4,82.97.170.215,0,0,0,1,18,1,2,0
61,9,2,1,1,4,232.167.13.80,1,1,0,10,4,1,2,0
83,22,3,0,9,8,188.59.225.41,1,0,1,7,19,1,3,1
63,19,2,1,1,5,172.72.33.110,0,0,0,7,11,1,1,0
39,10,3,1,2,2,80.74.212.28,1,1,0,2,22,1,2,0
6,9,6,1,0,4,193.20.10.12,1,2,0,7,30,0,2,0
17,13,6,1,0,1,88.120.204.108,1,0,0,12,31,0,0,0
22,10,5,1,0,5,88.74.142.96,1,0,0,2,10,0,2,0
82,13,2,0,1,2,40.67.86.138,0,0,0,2,28,1,0,0
3,0,0,1,9,14,38.8.2.112,2,1,1,5,1,0,3,1
44,18,6,1,2,1,142.64.205.100,0,0,0,3,25,0,1,0
89,19,0,1,2,2,175.198.126.108,2,0,0,6,19,0,1,0
25,16,1,1,1,5,208.167.76.159,0,2,0,1,12,0,0,0
80,15,5,1,2,2,16.217.202.106,2,2,0,5,5,0,0,0
89,2,6,0,9,18,50.225.80.177,2,2,1,1,28,0,3,1
58,13,5,1,1,3,167.239.246.203,1,2,0,6,2,0,0,0
17,10,0,1,2,1,166.142.99.41,0,0,0,12,19,0,2,0
46,23,6,0,10,19,47.63.37.76,2,1,1,3,18,0,3,1
43,1,6,0,5,7,101.188.67.160,1,2,1,6,17,0,3,1
22,10,2,1,0,2,37.225.159.229,2,0,0,1,10,1,2,0
80,18,4,1,0,1,78.198.239.211,2,1,0,10,9,0,1,0
46,11,5,1,0,4,177.152.43.249,1,2,0,3,31,0,2,0
66,2,4,1,3,7,202.237.29.15,1,1,1,9,25,0,3,1
96,12,5,1,0,5,26.165.48.151,2,0,0,12,9,0,0,0
49,15,5,1,1,2,90.252.110.204,1,0,0,11,25,0,0,0
40,18,1,1,2,4,118.119.204.249,2,0,0,2,2,0,1,0
96,14,6,1,0,5,239.166.103.125,1,2,0,7,15,0,0,0
56,20,2,1,2,4,92.228.97.207,2,1,0,2,7,1,1,0
10,17,4,1,0,2,184.241.107.219,2,1,0,5,14,0,1,0
36,20,6,1,2,4,136.36.3.113,1,0,0,10,29,0,1,0
1,18,5,1,2,4,199.84.187.48,2,1,0,10,14,0,1,0
66,12,1,1,2,5,212.21.246.142,0,1,0,3,23,0,0,0
28,14,2,1,1,1,208.7.6.223,1,2,0,7,11,1,0,0
67,12,5,1,0,5,114.187.108.82,1,2,0,1,20,0,0,0
56,20,4,1,1,1,7.85.220.181,0,1,0,1,15,0,1,0
91,15,5,1,2,5,58.241.97.61,0,2,0,10,7,0,0,0
22,22,1,0,6,8,111.3.112.175,0,0,1,7,28,0,3,1
98,15,4,1,1,2,175.239.149.111,2,0,0,5,7,0,0,0
32,10,0,1,2,2,56.16.77.14,2,2,0,10,24,0,2,0
27,14,4,1,1,3,189.209.104.252,1,2,0,7,23,0,0,0
26,14,3,1,2,3,135.45.155.2,0,0,0,1,4,1,0,0
93,20,2,1,1,4,246.90.124.171,0,1,0,6,13,1,1,0
58,16,4,1,0,5,26.74.132.2,0,2,0,11,13,0,0,0
46,3,2,0,3,11,253.82.117.150,1,2,1,5,16,1,3,1
90,13,3,1,0,2,57.87.184.182,0,0,0,3,22,1,0,0
30,15,5,1,1,1,141.153.225.235,1,2,0,8,5,0,0,0
58,12,0,1,1,3,234.1.157.202,2,0,0,11,28,0,0,0
42,15,0,1,0,2,104.185.44.40,0,1,0,7,10,0,0,0
7,19,6,1,1,2,94.219.131.89,2,2,0,5,27,0,1,0
51,20,3,1,2,4,81.201.243.118,0,2,0,8,24,1,1,0
43,19,5,1,0,4,157.154.89.238,2,2,0,8,12,0,1,0
39,17,5,1,0,5,144.14.231.144,2,0,0,10,14,0,1,0
16,12,3,1,1,1,9.131.229.34,1,0,0,5,31,1,0,0
24,23,1,0,8,7,254.178.50.75,1,2,1,6,1,0,3,1
37,23,1,1,8,11,139.97.202.116,2,1,1,7,28,0,3,1
49,16,5,1,1,4,120.243.46.14,1,1,0,10,28,0,0,0
23,11,0,1,0,3,160.229.19.89,0,2,0,1,2,0,2,0
77,14,0,1,2,2,160.223.166.198,1,0,0,5,1,0,0,0
36,12,0,1,0,4,80.74.218.90,0,2,0,5,8,0,0,0
44,2,1,0,4,17,202.232.234.210,1,1,1,12,1,0,3,1
32,3,0,0,8,17,2.1.135.133,2,2,1,11,21,0,3,1
26,17,4,0,1,2,116.168.50.183,2,1,0,5,21,0,1,0
14,12,4,1,0,3,253.248.75.86,2,0,0,1,8,0,0,0
5,13,1,1,2,1,35.119.80.151,0,0,0,3,30,0,0,0
14,12,4,1,1,1,122.85.62.136,2,0,0,4,16,0,0,0
51,19,6,1,2,3,141.182.213.49,0,2,0,7,22,0,1,0
1,10,3,1,1,5,132.118.141.127,0,0,0,8,31,1,2,0
31,17,1,1,2,1,84.233.40.12,2,1,0,2,2,0,1,0
25,8,6,1,1,1,195.147.13.38,1,2,0,7,15,0,2,0
72,10,2,0,1,1,185.80.122.90,2,0,0,5,9,1,2,0
67,13,5,1,2,5,181.78.139.117,0,2,0,7,14,0,0,0
9,14,0,1,2,5,131.235.101.113,1,0,0,4,10,0,0,0
64,19,3,1,2,4,59.14.10.143,2,1,0,7,5,1,1,0
95,8,5,1,1,5,232.242.75.123,1,2,0,5,26,0,2,0
43,19,5,1,2,2,148.190.237.8,1,0,0,3,24,0,1,0
31,19,6,1,1,2,247.89.214.27,1,1,0,11,26,0,1,0
42,8,3,1,1,5,231.196.57.36,0,2,0,6,28,1,2,0
71,12,4,1,1,1,166.192.142.159,2,0,0,9,18,0,0,0
13,17,3,1,2,3,246.124.219.89,1,0,0,6,14,1,1,0
25,9,1,1,2,2,31.144.170.230,0,2,0,8,4,0,2,0
2,11,0,1,0,3,138.11.251.77,1,2,0,9,26,0,2,0
47,13,6,1,1,5,97.83.110.222,2,1,0,10,29,0,0,0
16,20,3,1,2,4,238.178.243.126,0,0,0,5,10,1,1,0
65,11,4,1,2,5,173.234.231.43,1,1,0,1,29,0,2,0
3,8,0,1,2,3,111.181.103.37,0,0,0,2,20,0,2,0
87,12,6,1,1,1,238.153.84.178,2,0,0,10,29,0,0,0
17,15,3,1,2,2,16.137.208.150,0,2,0,4,5,1,0,0
58,3,5,1,5,11,226.101.181.216,0,2,1,2,17,0,3,1
60,17,5,1,1,2,123.139.72.195,2,2,0,7,29,0,1,0
22,3,2,0,7,16,37.244.214.131,1,1,1,10,25,1,3,1
39,16,4,1,1,5,67.253.151.143,0,0,0,10,23,0,0,0
60,16,5,1,0,2,136.186.27.145,2,0,0,5,19,0,0,0
74,22,0,0,8,10,94.149.46.204,1,2,1,10,10,0,3,1
50,16,0,1,1,4,185.77.1.74,1,2,0,9,5,0,0,0
21,18,0,1,1,2,207.130.29.53,2,0,0,7,24,0,1,0
96,23,0,1,6,16,110.179.205.213,0,0,1,11,21,0,3,1
52,2,6,1,4,8,41.55.199.188,2,1,1,7,22,0,3,1
38,16,3,1,0,5,220.158.121.164,0,0,0,9,21,1,0,0
41,16,2,1,1,2,106.49.141.181,1,0,0,3,7,1,0,0
61,12,1,1,1,3,46.119.65.101,0,1,0,5,11,0,0,0
47,18,0,1,1,2,137.177.24.226,1,2,0,9,26,0,1,0
95,19,6,1,2,4,170.33.40.239,1,2,0,8,20,0,1,0
78,8,5,1,0,2,208.36.109.27,2,0,0,12,16,0,2,0
22,10,4,1,0,5,162.36.229.154,0,2,0,8,14,0,2,0
37,8,4,1,0,4,220.190.32.30,0,0,0,4,23,0,2,0
75,1,1,0,6,9,210.247.70.179,0,2,1,11,17,0,3,1
30,18,2,1,2,3,75.32.88.221,2,1,0,10,18,1,1,0
57,12,6,1,1,4,188.227.217.30,1,1,0,7,8,0,0,0
72,10,0,1,1,4,163.144.243.170,0,0,0,6,12,0,2,0
75,23,4,0,6,17,137.222.188.230,0,2,1,3,5,0,3,1
43,9,6,1,1,3,115.163.21.150,1,1,0,1,21,0,2,0
34,11,5,1,0,3,212.12.238.37,0,1,0,9,23,0,2,0
56,8,4,1,0,1,77.89.51.125,2,1,0,4,23,0,2,0
32,17,6,1,1,1,163.77.9.183,2,0,0,2,18,0,1,0
87,8,2,1,0,4,29.176.134.14,2,1,0,11,1,1,2,0
66,10,4,1,2,5,86.151.18.107,0,1,0,1,1,0,2,0
40,13,2,1,2,1,35.108.205.193,1,0,0,4,4,1,0,0
75,11,4,1,0,5,164.253.66.225,2,1,0,10,16,0,2,0
58,20,6,1,2,2,149.20.120.148,1,1,0,10,29,0,1,0
3,16,4,1,2,4,236.99.25.215,1,2,0,3,5,0,0,0
59,16,5,0,1,4,13.205.138.64,0,2,0,7,14,0,0,0
89,8,1,1,0,2,61.69.19.73,1,2,0,10,6,0,2,0
19,9,3,1,2,1,196.113.5.138,2,2,0,3,22,1,2,0
38,0,2,0,4,20,138.6.139.175,2,0,1,10,4,1,3,1
53,9,2,1,1,3,215.90.146.189,2,0,0,11,29,1,2,0
57,9,2,1,0,1,51.7.176.17,1,2,0,1,24,1,2,0
94,17,2,1,1,2,244.108.251.81,1,0,0,1,17,1,1,0
86,13,2,1,2,5,135.186.149.70,0,2,0,12,6,1,0,0
21,14,0,1,1,4,26.67.194.125,2,0,0,2,27,0,0,0
33,10,1,1,2,5,182.212.226.248,1,0,0,2,2,0,2,0
35,9,6,1,2,2,200.118.56.89,2,2,0,5,6,0,2,0
35,10,1,1,2,5,124.58.37.225,0,2,0,6,29,0,2,0
66,14,5,1,0,1,95.189.131.75,0,1,0,3,3,0,0,0
11,0,4,0,9,11,211.27.179.51,1,1,1,11,6,0,3,1
12,20,3,1,1,4,202.217.90.5,0,2,0,7,19,1,1,0
94,8,5,1,1,2,148.58.231.3,2,1,0,7,14,0,2,0
65,13,4,1,1,5,29.126.156.185,2,1,0,5,7,0,0,0
58,9,5,1,1,2,215.128.215.87,1,2,0,2,17,0,2,0
20,22,5,0,6,6,90.254.16.148,2,0,1,9,16,0,3,1
67,11,6,1,2,5,255.72.187.9,0,1,0,12,31,0,2,0
35,8,2,1,1,1,11.32.138.246,2,1,0,7,26,1,2,0
97,10,0,1,0,2,62.135.246.190,1,2,0,6,19,0,2,0
80,10,4,1,0,4,61.207.26.196,1,0,0,11,13,0,2,0
19,11,0,1,1,3,175.77.184.1,0,2,0,3,13,0,2,0
93,20,0,1,2,1,35.128.136.20,1,2,0,12,19,0,1,0
9,14,0,1,0,2,111.7.220.39,0,1,0,12,12,0,0,0
40,18,4,1,2,1,114.18.70.160,0,1,0,1,22,0,1,0
13,4,6,0,3,16,219.117.152.26,2,1,1,4,8,0,3,1
0,3,3,0,9,9,14.13.33.151,2,2,1,9,21,1,3,1
81,19,0,1,1,2,253.64.24.249,1,1,0,2,20,0,1,0
93,15,3,1,0,1,73.22.3.68,1,0,0,10,26,1,0,0
35,12,6,1,0,4,251.79.83.95,2,0,0,1,7,0,0,0
2,9,0,1,0,5,50.108.182.223,0,0,0,7,10,0,2,0
92,0,2,0,4,11,64.60.103.147,1,2,1,3,7,1,3,1
88,17,4,1,1,5,100.154.75.48,2,1,0,6,25,0,1,0
64,11,1,1,0,2,127.168.62.252,0,2,0,12,8,0,2,0
92,9,3,1,0,2,90.61.53.95,2,2,0,4,19,1,2,0
47,4,5,0,5,6,68.14.7.175,2,1,1,4,28,0,3,1
98,17,2,1,2,3,112.207.45.242,1,1,0,6,20,1,1,0
84,17,2,1,2,1,231.75.113.48,2,0,0,4,25,1,1,0
45,9,4,1,2,4,48.84.174.49,2,0,0,12,18,0,2,0
33,15,5,1,1,1,48.205.21.89,1,1,0,9,9,0,0,0
85,20,3,1,0,1,123.242.212.47,1,0,0,11,23,1,1,0
29,16,0,1,2,2,183.167.25.201,1,0,0,3,20,0,0,0
27,8,0,1,2,2,18.179.62.213,2,2,0,9,19,0,2,0
36,13,1,1,1,1,196.21.208.137,1,0,0,6,8,0,0,0
66,14,4,1,0,5,154.153.121.84,0,1,0,9,18,0,0,0
98,9,2,0,2,1,147.31.82.11,2,0,0,10,11,1,2,0
89,20,2,1,1,1,219.137.200.117,1,1,0,2,21,1,1,0
82,19,3,1,0,4,243.254.154.245,2,1,0,9,14,1,1,0
23,4,0,0,5,16,29.224.148.15,0,0,1,7,17,0,3,1
39,16,0,1,0,3,27.198.178.239,1,0,0,2,13,0,0,0
78,20,0,1,1,3,55.108.122.212,0,1,0,7,17,0,1,0
19,12,0,1,2,2,46.56.13.227,0,1,0,2,13,0,0,0
59,12,3,1,2,4,198.236.218.85,2,1,0,6,7,1,0,0
