Username,Login_Date,Login_Time,Login_Hour,Day_Of_Week,Login_Status,Failed_Attempts,Login_Frequency,IP_Address,Device_Type,Browser,Label
user_024,2025-11-09,00:57:26,0,Sunday,Success,10,13,161.130.48.96,Laptop,Edge,Suspicious
user_017,2025-08-20,13:20:46,13,Wednesday,Success,0,5,61.212.89.164,Desktop,Edge,Normal
user_045,2025-12-31,17:14:09,17,Wednesday,Success,2,2,43.244.18.111,Laptop,Edge,Normal
user_067,2026-01-29,17:01:24,17,Thursday,Success,2,2,66.99.105.183,Laptop,Firefox,Normal
user_023,2025-09-26,08:59:54,8,Friday,Success,1,2,145.108.155.135,Mobile,Firefox,Normal
user_044,2026-05-03,16:12:06,16,Sunday,Success,1,4,159.128.4.145,Mobile,Firefox,Normal
user_029,2026-06-29,19:57:09,19,Monday,Success,2,5,182.69.61.73,Mobile,Firefox,Normal
user_083,2025-12-04,02:20:20,2,Thursday,Failed,5,17,218.164.73.43,Laptop,Chrome,Suspicious
user_028,2026-02-18,12:35:06,12,Wednesday,Failed,2,4,113.102.42.76,Mobile,Firefox,Normal
user_069,2026-03-21,14:09:18,14,Saturday,Success,2,2,208.224.216.145,Mobile,Edge,Normal
user_043,2026-03-15,16:19:10,16,Sunday,Success,1,3,95.135.240.4,Laptop,Chrome,Normal
user_086,2025-11-01,20:24:31,20,Saturday,Success,0,2,188.31.155.56,Laptop,Firefox,Normal
user_052,2026-05-15,12:35:53,12,Friday,Success,0,4,30.189.197.171,Mobile,Edge,Normal
user_057,2026-07-19,16:56:12,16,Sunday,Success,0,2,111.46.235.183,Laptop,Firefox,Normal
user_020,2026-07-10,14:57:31,14,Friday,Success,2,3,206.29.143.214,Laptop,Firefox,Normal
user_069,2025-11-10,14:53:10,14,Monday,Success,0,4,75.217.97.97,Laptop,Chrome,Normal
user_026,2025-09-20,10:29:59,10,Saturday,Success,1,5,204.38.70.229,Laptop,Chrome,Normal
user_051,2026-06-03,20:36:13,20,Wednesday,Success,0,4,155.108.126.180,Desktop,Edge,Normal
user_044,2025-09-06,18:34:46,18,Saturday,Success,0,3,77.252.224.90,Mobile,Chrome,Normal
user_067,2026-05-04,03:17:25,3,Monday,Failed,6,7,112.108.191.217,Desktop,Chrome,Suspicious
user_083,2025-11-07,08:25:45,8,Friday,Success,1,2,132.141.110.142,Mobile,Firefox,Normal
user_032,2025-11-08,17:36:11,17,Saturday,Success,1,4,147.193.126.69,Laptop,Edge,Normal
user_050,2026-01-01,00:06:24,0,Thursday,Success,4,15,213.36.190.176,Desktop,Edge,Suspicious
user_100,2026-01-19,15:40:56,15,Monday,Success,2,1,130.7.83.3,Mobile,Chrome,Normal
user_024,2026-01-04,00:56:45,0,Sunday,Success,5,19,130.54.104.246,Desktop,Chrome,Suspicious
user_014,2025-11-25,19:15:43,19,Tuesday,Failed,1,3,164.2.88.178,Desktop,Edge,Normal
user_085,2026-03-21,13:16:20,13,Saturday,Success,2,5,82.51.221.250,Mobile,Firefox,Normal
user_012,2025-08-04,15:38:35,15,Monday,Success,0,3,54.92.41.235,Laptop,Firefox,Normal
user_037,2025-10-02,12:02:26,12,Thursday,Success,0,3,51.177.78.246,Desktop,Firefox,Normal
user_057,2025-10-18,20:08:13,20,Saturday,Success,1,3,136.119.120.199,Desktop,Edge,Normal
user_004,2026-01-31,17:17:43,17,Saturday,Success,1,1,118.82.42.96,Laptop,Firefox,Normal
user_072,2026-01-16,08:40:59,8,Friday,Success,2,4,87.135.100.107,Mobile,Firefox,Normal
user_028,2026-01-10,08:23:49,8,Saturday,Success,2,1,213.28.8.122,Desktop,Firefox,Normal
user_050,2026-01-06,19:55:35,19,Tuesday,Failed,1,2,190.13.223.163,Laptop,Firefox,Normal
user_048,2026-06-12,11:16:18,11,Friday,Success,2,3,225.50.164.113,Desktop,Chrome,Normal
user_095,2025-11-29,13:27:00,13,Saturday,Success,0,1,75.82.85.97,Desktop,Edge,Normal
user_069,2026-02-12,12:14:49,12,Thursday,Success,0,1,124.174.148.104,Mobile,Edge,Normal
user_064,2025-08-24,14:04:50,14,Sunday,Success,1,2,13.190.218.30,Desktop,Chrome,Normal
user_094,2026-04-20,20:22:49,20,Monday,Success,0,1,216.161.160.238,Laptop,Firefox,Normal
user_002,2026-01-03,18:37:03,18,Saturday,Success,0,5,62.70.80.15,Desktop,Edge,Normal
user_074,2026-02-24,18:20:50,18,Tuesday,Success,0,3,247.252.130.21,Laptop,Firefox,Normal
user_011,2026-05-14,02:17:18,2,Thursday,Success,4,8,210.71.211.15,Laptop,Chrome,Suspicious
user_066,2025-10-07,16:32:01,16,Tuesday,Success,2,4,145.203.108.247,Desktop,Edge,Normal
user_034,2025-10-17,11:11:55,11,Friday,Success,0,4,146.23.175.218,Mobile,Edge,Normal
user_029,2025-08-12,19:58:45,19,Tuesday,Success,1,5,45.174.91.166,Mobile,Firefox,Normal
