Username,Login_Date,Login_Time,Login_Hour,Day_Of_Week,Login_Status,Failed_Attempts,Login_Frequency,IP_Address,Device_Type,Browser,Label
23,2025-11-09,00:57:26,0,3,1,10,13,161.130.48.96,1,1,1
16,2025-08-20,13:20:46,13,6,1,0,5,61.212.89.164,0,1,0
44,2025-12-31,17:14:09,17,6,1,2,2,43.244.18.111,1,1,0
66,2026-01-29,17:01:24,17,4,1,2,2,66.99.105.183,1,2,0
22,2025-09-26,08:59:54,8,0,1,1,2,145.108.155.135,2,2,0
43,2026-05-03,16:12:06,16,3,1,1,4,159.128.4.145,2,2,0
28,2026-06-29,19:57:09,19,1,1,2,5,182.69.61.73,2,2,0
82,2025-12-04,02:20:20,2,4,0,5,17,218.164.73.43,1,0,1
27,2026-02-18,12:35:06,12,6,0,2,4,113.102.42.76,2,2,0
68,2026-03-21,14:09:18,14,2,1,2,2,208.224.216.145,2,1,0
42,2026-03-15,16:19:10,16,3,1,1,3,95.135.240.4,1,0,0
85,2025-11-01,20:24:31,20,2,1,0,2,188.31.155.56,1,2,0
51,2026-05-15,12:35:53,12,0,1,0,4,30.189.197.171,2,1,0
56,2026-07-19,16:56:12,16,3,1,0,2,111.46.235.183,1,2,0
19,2026-07-10,14:57:31,14,0,1,2,3,206.29.143.214,1,2,0
68,2025-11-10,14:53:10,14,1,1,0,4,75.217.97.97,1,0,0
25,2025-09-20,10:29:59,10,2,1,1,5,204.38.70.229,1,0,0
50,2026-06-03,20:36:13,20,6,1,0,4,155.108.126.180,0,1,0
43,2025-09-06,18:34:46,18,2,1,0,3,77.252.224.90,2,0,0
66,2026-05-04,03:17:25,3,1,0,6,7,112.108.191.217,0,0,1
82,2025-11-07,08:25:45,8,0,1,1,2,132.141.110.142,2,2,0
31,2025-11-08,17:36:11,17,2,1,1,4,147.193.126.69,1,1,0
49,2026-01-01,00:06:24,0,4,1,4,15,213.36.190.176,0,1,1
99,2026-01-19,15:40:56,15,1,1,2,1,130.7.83.3,2,0,0
23,2026-01-04,00:56:45,0,3,1,5,19,130.54.104.246,0,0,1
13,2025-11-25,19:15:43,19,5,0,1,3,164.2.88.178,0,1,0
84,2026-03-21,13:16:20,13,2,1,2,5,82.51.221.250,2,2,0
11,2025-08-04,15:38:35,15,1,1,0,3,54.92.41.235,1,2,0
36,2025-10-02,12:02:26,12,4,1,0,3,51.177.78.246,0,2,0
56,2025-10-18,20:08:13,20,2,1,1,3,136.119.120.199,0,1,0
3,2026-01-31,17:17:43,17,2,1,1,1,118.82.42.96,1,2,0
71,2026-01-16,08:40:59,8,0,1,2,4,87.135.100.107,2,2,0
27,2026-01-10,08:23:49,8,2,1,2,1,213.28.8.122,0,2,0
49,2026-01-06,19:55:35,19,5,0,1,2,190.13.223.163,1,2,0
47,2026-06-12,11:16:18,11,0,1,2,3,225.50.164.113,0,0,0
94,2025-11-29,13:27:00,13,2,1,0,1,75.82.85.97,0,1,0
68,2026-02-12,12:14:49,12,4,1,0,1,124.174.148.104,2,1,0
63,2025-08-24,14:04:50,14,3,1,1,2,13.190.218.30,0,0,0
93,2026-04-20,20:22:49,20,1,1,0,1,216.161.160.238,1,2,0
